"filename", "language", "HTML", "JavaScript JSX", "JavaScript", "Properties", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"d:\Software 1\Proyecto Final\traductor-IA\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\.eslintrc.cjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Software 1\Proyecto Final\traductor-IA\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"d:\Software 1\Proyecto Final\traductor-IA\index.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Software 1\Proyecto Final\traductor-IA\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4789, 0, 0, 0, 1, 4790
"d:\Software 1\Proyecto Final\traductor-IA\package.json", "JSON", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\Software 1\Proyecto Final\traductor-IA\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\src\TraductorApp.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 4, 2, 17
"d:\Software 1\Proyecto Final\traductor-IA\src\api\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\src\api\traslateApi.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 5, 20
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\context\AuthContext.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\layout\AuthLayout.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 1, 1, 37
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\pages\LoginPage.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 2, 14, 75
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\pages\RegisterPage.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 2, 16, 127
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\pages\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Software 1\Proyecto Final\traductor-IA\src\auth\routes\AuthRoutes.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 3, 1, 12
"d:\Software 1\Proyecto Final\traductor-IA\src\context\SocketContext.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\Software 1\Proyecto Final\traductor-IA\src\css\chat.css", "CSS", 0, 0, 0, 0, 204, 0, 0, 0, 0, 40, 244
"d:\Software 1\Proyecto Final\traductor-IA\src\helpers\getEnvVariables.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Software 1\Proyecto Final\traductor-IA\src\helpers\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\src\hook\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Software 1\Proyecto Final\traductor-IA\src\hook\useAuthStore.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 22, 9, 92
"d:\Software 1\Proyecto Final\traductor-IA\src\hook\useForm.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 11, 54
"d:\Software 1\Proyecto Final\traductor-IA\src\hook\useSocket.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
"d:\Software 1\Proyecto Final\traductor-IA\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\Software 1\Proyecto Final\traductor-IA\src\main.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Software 1\Proyecto Final\traductor-IA\src\router\AppRouter.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 9, 7, 49
"d:\Software 1\Proyecto Final\traductor-IA\src\store\auth\authSlice.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"d:\Software 1\Proyecto Final\traductor-IA\src\store\auth\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\src\store\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\src\store\store.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\Software 1\Proyecto Final\traductor-IA\src\theme\AppTheme.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Software 1\Proyecto Final\traductor-IA\src\theme\colorTheme.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Software 1\Proyecto Final\traductor-IA\src\theme\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\ChatSelect.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Chat\IncomingMessage.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Chat\Messages.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 2, 12, 79
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Chat\OutgoingMessage.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Chat\SendMessage.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 6, 38
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Chat\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
