Date : 2023-12-04 22:55:25
Directory : d:\Software 1\Proyecto Final\traductor-IA
Total : 62 files,  6342 codes, 141 comments, 272 blanks, all 6755 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |      4,827 |          0 |          2 |      4,829 |
| JavaScript JSX |         30 |      1,000 |        116 |        181 |      1,297 |
| JavaScript     |         24 |        277 |         25 |         43 |        345 |
| CSS            |          2 |        207 |          0 |         40 |        247 |
| HTML           |          1 |         24 |          0 |          2 |         26 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| Properties     |          1 |          1 |          0 |          0 |          1 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         62 |      6,342 |        141 |        272 |      6,755 |
| . (Files)                                                                                        |          7 |      4,882 |          1 |         11 |      4,894 |
| public                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src                                                                                              |         54 |      1,459 |        140 |        261 |      1,860 |
| src (Files)                                                                                      |          3 |         30 |          4 |          4 |         38 |
| src\api                                                                                          |          2 |         15 |          1 |          5 |         21 |
| src\auth                                                                                         |          6 |        230 |          8 |         39 |        277 |
| src\auth\context                                                                                 |          1 |         17 |          0 |          7 |         24 |
| src\auth\layout                                                                                  |          1 |         35 |          1 |          1 |         37 |
| src\auth\pages                                                                                   |          3 |        170 |          4 |         30 |        204 |
| src\auth\routes                                                                                  |          1 |          8 |          3 |          1 |         12 |
| src\context                                                                                      |          1 |         23 |          0 |          8 |         31 |
| src\css                                                                                          |          1 |        204 |          0 |         40 |        244 |
| src\helpers                                                                                      |          2 |          7 |          0 |          1 |          8 |
| src\hook                                                                                         |          4 |        135 |         22 |         28 |        185 |
| src\router                                                                                       |          1 |         33 |          9 |          7 |         49 |
| src\store                                                                                        |          4 |         39 |          1 |          4 |         44 |
| src\store (Files)                                                                                |          2 |          8 |          1 |          2 |         11 |
| src\store\auth                                                                                   |          2 |         31 |          0 |          2 |         33 |
| src\theme                                                                                        |          3 |         42 |          0 |          3 |         45 |
| src\traductor                                                                                    |         25 |        680 |         95 |        118 |        893 |
| src\traductor (Files)                                                                            |          1 |          4 |          0 |          1 |          5 |
| src\traductor\components                                                                         |         15 |        423 |         15 |         62 |        500 |
